Estatísticas para UPLOAD (sem outliers):
tree_ORTHOMCL1.nexus: média=23804.08 bps, std=2812.74, mediana=24304.76, min=18845.70, max=26874.72, n=5, outliers=0
ORTHOMCL1006: média=534376.06 bps, std=108743.51, mediana=482284.17, min=456268.80, max=746396.18, n=5, outliers=0
ORTHOMCL1007: média=342444.74 bps, std=41483.27, mediana=344467.50, min=286182.92, max=402740.87, n=5, outliers=0
ORTHOMCL1008: média=368776.27 bps, std=60703.85, mediana=364402.66, min=275399.28, max=437036.46, n=5, outliers=0
ORTHOMCL1009: média=316176.77 bps, std=65328.22, mediana=284741.95, min=259702.52, max=437886.55, n=5, outliers=0
ORTHOMCL1018: média=461547.95 bps, std=59842.89, mediana=468008.08, min=375056.75, max=557176.99, n=5, outliers=0
ORTHOMCL1021: média=327266.20 bps, std=48560.77, mediana=329086.14, min=268182.29, max=409357.75, n=5, outliers=0
ORTHOMCL1023: média=572827.82 bps, std=79299.10, mediana=514301.49, min=506220.65, max=696200.94, n=5, outliers=0
ORTHOMCL1027: média=483169.49 bps, std=54069.76, mediana=481547.59, min=420622.94, max=563966.86, n=5, outliers=0
ORTHOMCL1029: média=389034.28 bps, std=83424.14, mediana=358923.41, min=281436.99, max=504059.77, n=5, outliers=0
ORTHOMCL1033: média=454339.04 bps, std=71151.26, mediana=420422.39, min=393308.55, max=591534.92, n=5, outliers=0
ORTHOMCL1034: média=616566.57 bps, std=85664.72, mediana=571722.62, min=512528.06, max=721503.31, n=5, outliers=0
ORTHOMCL1038: média=453892.25 bps, std=60248.74, mediana=443820.44, min=382232.26, max=549608.12, n=5, outliers=0
ORTHOMCL1039: média=531021.66 bps, std=85361.43, mediana=480790.24, min=442724.05, max=643370.82, n=5, outliers=0
ORTHOMCL1042: média=425583.88 bps, std=99628.52, mediana=364462.62, min=344299.89, max=607053.65, n=5, outliers=0
ORTHOMCL1043: média=498655.15 bps, std=87898.31, mediana=552272.18, min=384626.63, max=595535.50, n=5, outliers=0
ORTHOMCL1074: média=589703.70 bps, std=101053.88, mediana=511862.21, min=501778.46, max=718253.79, n=5, outliers=0
ORTHOMCL1083: média=344863.39 bps, std=110474.40, mediana=301088.55, min=233847.52, max=537043.52, n=5, outliers=0
ORTHOMCL1087: média=445742.75 bps, std=53188.84, mediana=444907.77, min=376465.33, max=510681.23, n=5, outliers=0
ORTHOMCL1092: média=343488.35 bps, std=95984.39, mediana=328761.42, min=200904.83, max=492779.30, n=5, outliers=0
ORTHOMCL1100: média=378388.01 bps, std=57354.27, mediana=363831.02, min=317336.82, max=474437.73, n=5, outliers=0
ORTHOMCL1104: média=581600.80 bps, std=81712.06, mediana=597797.20, min=466384.12, max=699868.42, n=5, outliers=0
ORTHOMCL1113: média=367023.54 bps, std=99160.10, mediana=324975.28, min=279021.86, max=560351.60, n=5, outliers=0
ORTHOMCL1125: média=240384.60 bps, std=51328.13, mediana=238604.31, min=148916.39, max=291685.26, n=5, outliers=0
ORTHOMCL1126: média=265382.81 bps, std=42544.74, mediana=260963.89, min=208825.75, max=340719.85, n=5, outliers=0
ORTHOMCL1127: média=476628.98 bps, std=80078.37, mediana=528565.66, min=355215.83, max=546527.71, n=5, outliers=0
ORTHOMCL1129: média=353752.49 bps, std=67605.28, mediana=325874.50, min=284018.50, max=439803.12, n=5, outliers=0
ORTHOMCL1131: média=630084.33 bps, std=200866.47, mediana=552610.43, min=443880.49, max=990479.91, n=5, outliers=0
ORTHOMCL1135: média=507971.76 bps, std=46182.34, mediana=487254.56, min=444629.04, max=561774.39, n=5, outliers=0
ORTHOMCL1136: média=554837.73 bps, std=84591.73, mediana=547140.89, min=450659.48, max=677330.49, n=5, outliers=0
ORTHOMCL1146: média=305607.07 bps, std=26297.58, mediana=297484.39, min=277730.17, max=350461.72, n=5, outliers=0
ORTHOMCL1147: média=486956.52 bps, std=139617.91, mediana=399117.20, min=380126.31, max=749436.44, n=5, outliers=0
ORTHOMCL1166: média=303312.36 bps, std=28053.52, mediana=294984.16, min=276175.45, max=357562.60, n=5, outliers=0
ORTHOMCL1305: média=412122.19 bps, std=77257.49, mediana=363431.90, min=338144.10, max=519753.02, n=5, outliers=0
ORTHOMCL1311: média=750622.34 bps, std=263555.39, mediana=650954.43, min=585119.29, max=1274501.37, n=5, outliers=0
ORTHOMCL1313: média=440855.67 bps, std=15249.20, mediana=443757.61, min=421219.52, max=464820.14, n=5, outliers=0
ORTHOMCL1314: média=402683.66 bps, std=50960.14, mediana=381518.10, min=357903.11, max=497199.87, n=5, outliers=0
ORTHOMCL1316: média=601633.03 bps, std=74215.62, mediana=593370.55, min=519822.76, max=718013.25, n=5, outliers=0
ORTHOMCL1334: média=454153.24 bps, std=74424.77, mediana=420752.60, min=365789.38, max=551097.98, n=5, outliers=0
ORTHOMCL1352: média=659278.61 bps, std=141208.64, mediana=692180.21, min=485047.52, max=825389.88, n=5, outliers=0
ORTHOMCL1359: média=449478.34 bps, std=77043.30, mediana=423302.59, min=373120.39, max=585359.25, n=5, outliers=0
ORTHOMCL1363: média=571556.95 bps, std=75801.37, mediana=607209.84, min=459344.90, max=643675.83, n=5, outliers=0
ORTHOMCL1370: média=373201.92 bps, std=64217.23, mediana=350235.75, min=286913.10, max=472036.70, n=5, outliers=0
ORTHOMCL1374: média=709438.24 bps, std=77437.66, mediana=758423.86, min=593037.28, max=781187.92, n=5, outliers=0
ORTHOMCL1375: média=373042.98 bps, std=55805.92, mediana=349901.30, min=311058.66, max=454854.75, n=5, outliers=0
ORTHOMCL1378: média=650455.76 bps, std=121006.89, mediana=625370.60, min=517749.02, max=792571.75, n=5, outliers=0
ORTHOMCL1385: média=591999.12 bps, std=106585.15, mediana=539630.43, min=463438.81, max=720880.41, n=5, outliers=0
ORTHOMCL1403: média=285689.52 bps, std=21260.66, mediana=276098.61, min=264515.15, max=315237.59, n=5, outliers=0
ORTHOMCL1404: média=388474.57 bps, std=47235.03, mediana=403996.78, min=322872.91, max=438543.53, n=5, outliers=0
ORTHOMCL1408: média=272831.86 bps, std=43104.28, mediana=257205.01, min=223913.43, max=343354.58, n=5, outliers=0
ORTHOMCL1410: média=713817.43 bps, std=79569.09, mediana=751510.06, min=604055.48, max=805132.92, n=5, outliers=0
ORTHOMCL1442: média=440143.03 bps, std=83115.18, mediana=456511.70, min=320650.87, max=534156.66, n=5, outliers=0
ORTHOMCL1464: média=444707.48 bps, std=31768.65, mediana=429445.21, min=423510.62, max=507923.54, n=5, outliers=0
ORTHOMCL1480: média=680771.87 bps, std=178844.88, mediana=557375.98, min=523856.53, max=910260.63, n=5, outliers=0
ORTHOMCL1490: média=639092.08 bps, std=94432.05, mediana=613724.45, min=505562.66, max=775001.80, n=5, outliers=0
ORTHOMCL1491: média=429578.95 bps, std=74486.57, mediana=392754.76, min=344661.54, max=536256.01, n=5, outliers=0
ORTHOMCL1518: média=671210.29 bps, std=133675.27, mediana=628550.69, min=544914.94, max=914417.81, n=5, outliers=0
ORTHOMCL1527: média=722717.81 bps, std=115434.56, mediana=699302.11, min=601683.08, max=938466.53, n=5, outliers=0
ORTHOMCL1541: média=563519.05 bps, std=79560.54, mediana=578207.79, min=448238.44, max=670432.43, n=5, outliers=0
ORTHOMCL1591: média=501735.81 bps, std=86004.49, mediana=467361.90, min=434387.22, max=669167.18, n=5, outliers=0
ORTHOMCL1619: média=445849.76 bps, std=79038.26, mediana=413374.05, min=375522.79, max=597362.95, n=5, outliers=0
ORTHOMCL1677: média=352041.13 bps, std=59615.37, mediana=319993.26, min=298047.26, max=447204.67, n=5, outliers=0
ORTHOMCL1678: média=463738.26 bps, std=51225.26, mediana=496988.12, min=386036.01, max=516917.97, n=5, outliers=0
ORTHOMCL1686: média=679452.03 bps, std=90740.93, mediana=613990.90, min=598542.84, max=817569.46, n=5, outliers=0
ORTHOMCL1706: média=359214.63 bps, std=46386.44, mediana=333946.44, min=317714.73, max=435808.08, n=5, outliers=0
ORTHOMCL1762: média=611669.88 bps, std=130811.37, mediana=547589.42, min=524985.93, max=871618.67, n=5, outliers=0
ORTHOMCL1770: média=443157.61 bps, std=54459.67, mediana=466021.30, min=377629.16, max=501937.31, n=5, outliers=0
ORTHOMCL1772: média=325998.26 bps, std=42807.37, mediana=329783.42, min=267264.90, max=385018.28, n=5, outliers=0
ORTHOMCL1779: média=680886.09 bps, std=98411.03, mediana=665740.80, min=573638.81, max=853096.41, n=5, outliers=0
ORTHOMCL1780: média=599477.47 bps, std=67488.67, mediana=604056.40, min=507421.43, max=677855.76, n=5, outliers=0
ORTHOMCL1788: média=459996.58 bps, std=67315.01, mediana=460156.10, min=345594.17, max=555366.03, n=5, outliers=0
ORTHOMCL1795: média=652400.67 bps, std=100203.97, mediana=616115.20, min=575889.80, max=849469.03, n=5, outliers=0
ORTHOMCL1809: média=408540.43 bps, std=30898.33, mediana=402907.06, min=379343.80, max=466381.70, n=5, outliers=0
ORTHOMCL1813: média=321508.99 bps, std=37033.46, mediana=303052.44, min=281855.39, max=366492.13, n=5, outliers=0
ORTHOMCL1816: média=534829.54 bps, std=97799.05, mediana=496629.23, min=433461.14, max=705153.44, n=5, outliers=0
ORTHOMCL1833: média=696858.59 bps, std=65114.99, mediana=697349.04, min=587083.43, max=771815.26, n=5, outliers=0
ORTHOMCL1861: média=247855.26 bps, std=49694.47, mediana=262674.55, min=185386.65, max=324803.37, n=5, outliers=0
ORTHOMCL1863: média=781447.04 bps, std=90109.94, mediana=746220.10, min=670584.09, max=919743.85, n=5, outliers=0
ORTHOMCL1869: média=341311.35 bps, std=124641.84, mediana=290780.64, min=244055.15, max=587242.90, n=5, outliers=0
ORTHOMCL1875: média=386466.89 bps, std=78323.11, mediana=367096.64, min=273427.12, max=501618.93, n=5, outliers=0
ORTHOMCL1882: média=719149.48 bps, std=120493.64, mediana=712347.59, min=575001.95, max=884433.09, n=5, outliers=0
ORTHOMCL1890: média=696155.83 bps, std=142621.00, mediana=631484.00, min=572330.53, max=969857.40, n=5, outliers=0
ORTHOMCL1895: média=616277.91 bps, std=82613.89, mediana=663213.98, min=489534.15, max=691885.04, n=5, outliers=0
ORTHOMCL1906: média=631565.54 bps, std=123665.50, mediana=644479.16, min=459605.18, max=807007.99, n=5, outliers=0
ORTHOMCL1909: média=558784.98 bps, std=130115.45, mediana=502082.10, min=468589.95, max=817552.97, n=5, outliers=0
ORTHOMCL1915: média=300848.33 bps, std=59106.89, mediana=314413.21, min=226813.37, max=376185.21, n=5, outliers=0
ORTHOMCL1916: média=425394.97 bps, std=71949.28, mediana=376653.58, min=356761.19, max=515759.13, n=5, outliers=0
ORTHOMCL1940: média=622497.07 bps, std=68099.68, mediana=580453.75, min=557084.17, max=731964.04, n=5, outliers=0
ORTHOMCL1952: média=642517.16 bps, std=157433.75, mediana=556786.48, min=500277.98, max=909409.12, n=5, outliers=0
ORTHOMCL1954: média=547372.34 bps, std=80702.35, mediana=585937.04, min=434057.59, max=634573.59, n=5, outliers=0
ORTHOMCL1958: média=665428.30 bps, std=63118.95, mediana=663037.17, min=582108.14, max=770687.60, n=5, outliers=0
ORTHOMCL1965: média=428660.28 bps, std=53319.54, mediana=448297.38, min=343401.14, max=486689.38, n=5, outliers=0
ORTHOMCL1973: média=314153.98 bps, std=68197.03, mediana=308829.34, min=227962.64, max=433461.70, n=5, outliers=0
ORTHOMCL1977: média=40286.89 bps, std=3900.96, mediana=38954.11, min=35313.99, max=46793.31, n=5, outliers=0
ORTHOMCL1984: média=758731.66 bps, std=160284.49, mediana=703497.07, min=554649.82, max=1004778.86, n=5, outliers=0
ORTHOMCL1985: média=451038.02 bps, std=59182.13, mediana=430497.51, min=397564.93, max=566614.62, n=5, outliers=0
ORTHOMCL1996: média=342571.48 bps, std=149630.79, mediana=347681.04, min=96925.72, max=565997.15, n=5, outliers=0
ORTHOMCL1997: média=442373.41 bps, std=77485.86, mediana=462977.86, min=341664.77, max=560428.04, n=5, outliers=0
ORTHOMCL2001: média=476209.84 bps, std=88249.17, mediana=486259.51, min=372894.91, max=607719.88, n=5, outliers=0
ORTHOMCL2020: média=566994.99 bps, std=143393.91, mediana=546783.62, min=354555.49, max=779143.87, n=5, outliers=0
ORTHOMCL2033: média=502836.31 bps, std=55045.31, mediana=487434.87, min=449378.15, max=608048.42, n=5, outliers=0
ORTHOMCL256: média=299553.32 bps, std=35834.63, mediana=295110.17, min=253515.53, max=361959.37, n=5, outliers=0
ORTHOMCL256_2: média=323111.73 bps, std=18959.90, mediana=319731.64, min=299413.58, max=357086.12, n=5, outliers=0
ORTHOMCL320: média=354918.21 bps, std=33814.22, mediana=342864.33, min=319921.29, max=414553.24, n=5, outliers=0
ORTHOMCL337: média=430540.32 bps, std=61579.48, mediana=445983.06, min=330591.30, max=505978.36, n=5, outliers=0
ORTHOMCL358: média=309929.08 bps, std=80276.78, mediana=299845.83, min=208799.92, max=449446.40, n=5, outliers=0
ORTHOMCL364: média=374504.12 bps, std=67431.34, mediana=345760.82, min=303201.37, max=484262.98, n=5, outliers=0
ORTHOMCL371: média=323963.98 bps, std=29486.15, mediana=324277.51, min=272876.79, max=358221.83, n=5, outliers=0
ORTHOMCL374: média=300611.40 bps, std=37576.43, mediana=296465.85, min=245972.19, max=364150.01, n=5, outliers=0
ORTHOMCL421: média=293778.05 bps, std=26869.03, mediana=284000.10, min=256965.98, max=335509.04, n=5, outliers=0
ORTHOMCL424: média=374089.42 bps, std=65804.32, mediana=332525.18, min=314585.69, max=483618.06, n=5, outliers=0
ORTHOMCL441: média=196564.12 bps, std=35794.54, mediana=187682.81, min=157070.41, max=239902.05, n=5, outliers=0
ORTHOMCL458: média=260024.25 bps, std=46478.45, mediana=238561.81, min=203433.74, max=323770.99, n=5, outliers=0
ORTHOMCL465: média=449077.12 bps, std=65926.11, mediana=431425.23, min=375134.59, max=560587.59, n=5, outliers=0
ORTHOMCL508: média=504843.39 bps, std=55475.26, mediana=494666.96, min=460095.19, max=611371.48, n=5, outliers=0
ORTHOMCL510: média=590550.37 bps, std=99922.94, mediana=658388.85, min=454415.53, max=694339.58, n=5, outliers=0
ORTHOMCL515: média=504575.84 bps, std=87801.69, mediana=464053.25, min=410561.34, max=620550.34, n=5, outliers=0
ORTHOMCL524: média=483905.20 bps, std=102493.81, mediana=416376.94, min=378400.21, max=615622.26, n=5, outliers=0
ORTHOMCL525: média=469816.36 bps, std=88467.37, mediana=408176.54, min=394554.53, max=619065.07, n=5, outliers=0
ORTHOMCL526: média=316077.10 bps, std=41452.35, mediana=298481.51, min=264705.32, max=386264.37, n=5, outliers=0
ORTHOMCL534: média=468485.43 bps, std=100187.89, mediana=424210.97, min=368371.08, max=625664.80, n=5, outliers=0
ORTHOMCL537: média=492557.63 bps, std=91625.75, mediana=468467.05, min=416939.08, max=670917.67, n=5, outliers=0
ORTHOMCL540: média=522284.51 bps, std=68876.04, mediana=494660.03, min=473368.03, max=659128.63, n=5, outliers=0
ORTHOMCL557: média=500133.59 bps, std=58400.38, mediana=485443.71, min=434037.53, max=579691.70, n=5, outliers=0
ORTHOMCL581: média=454833.89 bps, std=18054.95, mediana=455364.64, min=431090.44, max=485671.30, n=5, outliers=0
ORTHOMCL588: média=482118.36 bps, std=110406.75, mediana=428313.67, min=405405.43, max=698944.82, n=5, outliers=0
ORTHOMCL592: média=437866.92 bps, std=104765.71, mediana=366177.67, min=344496.24, max=607508.84, n=5, outliers=0
ORTHOMCL596: média=472102.47 bps, std=76934.87, mediana=436594.00, min=397322.98, max=570876.37, n=5, outliers=0
ORTHOMCL609: média=391304.48 bps, std=42724.49, mediana=363232.21, min=347497.63, max=443310.16, n=5, outliers=0
ORTHOMCL613: média=396808.17 bps, std=47895.29, mediana=393832.92, min=317653.83, max=465713.52, n=5, outliers=0
ORTHOMCL617: média=470716.00 bps, std=62864.02, mediana=486019.39, min=391161.91, max=563275.07, n=5, outliers=0
ORTHOMCL625: média=560219.85 bps, std=107668.82, mediana=568487.04, min=438246.61, max=704634.06, n=5, outliers=0
ORTHOMCL626: média=416728.16 bps, std=79766.18, mediana=386362.64, min=348485.77, max=571805.17, n=5, outliers=0
ORTHOMCL641: média=531402.04 bps, std=92123.68, mediana=533799.30, min=391512.57, max=657591.25, n=5, outliers=0
ORTHOMCL648: média=470783.27 bps, std=59524.92, mediana=470503.85, min=385092.92, max=542847.18, n=5, outliers=0
ORTHOMCL650: média=271876.75 bps, std=28789.64, mediana=255115.41, min=238615.80, max=311736.04, n=5, outliers=0
ORTHOMCL652: média=297266.88 bps, std=54162.00, mediana=261572.60, min=243301.13, max=378614.63, n=5, outliers=0
ORTHOMCL659: média=394764.98 bps, std=46377.26, mediana=400579.01, min=313613.04, max=455693.95, n=5, outliers=0
ORTHOMCL665: média=390751.23 bps, std=64827.61, mediana=373704.60, min=336777.63, max=514378.38, n=5, outliers=0
ORTHOMCL667: média=412278.89 bps, std=51584.25, mediana=426289.38, min=352218.09, max=484031.98, n=5, outliers=0
ORTHOMCL680: média=452634.84 bps, std=56713.84, mediana=413522.39, min=397717.18, max=524625.59, n=5, outliers=0
ORTHOMCL721: média=506730.20 bps, std=91697.94, mediana=443474.43, min=425694.20, max=625017.83, n=5, outliers=0
ORTHOMCL726: média=395093.91 bps, std=43260.26, mediana=416503.32, min=326003.54, max=443846.51, n=5, outliers=0
ORTHOMCL728: média=239845.42 bps, std=16236.85, mediana=245361.21, min=219657.78, max=257355.43, n=5, outliers=0
ORTHOMCL733: média=432241.54 bps, std=96932.90, mediana=418515.27, min=330356.45, max=604903.93, n=5, outliers=0
ORTHOMCL741: média=532539.34 bps, std=69363.34, mediana=521699.82, min=458381.50, max=637474.50, n=5, outliers=0
ORTHOMCL744: média=627850.67 bps, std=102490.24, mediana=645522.32, min=489478.27, max=785019.29, n=5, outliers=0
ORTHOMCL746: média=593504.67 bps, std=136699.15, mediana=540327.99, min=498507.72, max=864218.53, n=5, outliers=0
ORTHOMCL748: média=310182.24 bps, std=31687.14, mediana=293364.64, min=284524.58, max=370442.29, n=5, outliers=0
ORTHOMCL750: média=606756.19 bps, std=147086.96, mediana=535243.45, min=481621.97, max=876725.76, n=5, outliers=0
ORTHOMCL755: média=478111.79 bps, std=71280.15, mediana=455757.21, min=403999.80, max=599199.47, n=5, outliers=0
ORTHOMCL757: média=420024.91 bps, std=59570.46, mediana=420149.61, min=345841.86, max=502604.41, n=5, outliers=0
ORTHOMCL758: média=470605.21 bps, std=77297.45, mediana=420305.11, min=402678.98, max=603136.42, n=5, outliers=0
ORTHOMCL763: média=309303.30 bps, std=48029.44, mediana=281047.72, min=265710.83, max=390908.56, n=5, outliers=0
ORTHOMCL768: média=474362.47 bps, std=99284.24, mediana=403119.42, min=383277.78, max=606451.94, n=5, outliers=0
ORTHOMCL780: média=625437.18 bps, std=109835.97, mediana=593014.35, min=510016.45, max=756429.50, n=5, outliers=0
ORTHOMCL787: média=551024.11 bps, std=94903.11, mediana=569424.77, min=420100.00, max=659976.80, n=5, outliers=0
ORTHOMCL790: média=434133.49 bps, std=37118.89, mediana=435346.38, min=378370.76, max=487466.54, n=5, outliers=0
ORTHOMCL791: média=577794.76 bps, std=89012.21, mediana=603852.33, min=466022.36, max=671782.78, n=5, outliers=0
ORTHOMCL818: média=328622.16 bps, std=60120.15, mediana=286447.35, min=273395.73, max=417237.64, n=5, outliers=0
ORTHOMCL830: média=481163.19 bps, std=78191.55, mediana=441440.84, min=402025.57, max=620495.64, n=5, outliers=0
ORTHOMCL833: média=379145.71 bps, std=106546.82, mediana=342752.19, min=234470.04, max=530499.46, n=5, outliers=0
ORTHOMCL835: média=480110.18 bps, std=68465.71, mediana=446733.69, min=398799.83, max=587362.51, n=5, outliers=0
ORTHOMCL836: média=535765.72 bps, std=93796.61, mediana=555365.50, min=393825.70, max=674128.47, n=5, outliers=0
ORTHOMCL838: média=348905.78 bps, std=51865.96, mediana=358827.38, min=279462.48, max=424441.31, n=5, outliers=0
ORTHOMCL841: média=466016.02 bps, std=69153.14, mediana=416582.23, min=402218.93, max=569715.98, n=5, outliers=0
ORTHOMCL853: média=575429.74 bps, std=69839.99, mediana=619733.70, min=473098.02, max=640717.71, n=5, outliers=0
ORTHOMCL854: média=510767.08 bps, std=69059.14, mediana=482916.84, min=448689.31, max=640899.39, n=5, outliers=0
ORTHOMCL858: média=469250.10 bps, std=44006.60, mediana=469827.38, min=414452.43, max=543963.99, n=5, outliers=0
ORTHOMCL862: média=690001.64 bps, std=141356.19, mediana=698778.41, min=511338.50, max=851773.45, n=5, outliers=0
ORTHOMCL866: média=412163.24 bps, std=48674.64, mediana=416210.74, min=354308.64, max=473287.59, n=5, outliers=0
ORTHOMCL872: média=532554.05 bps, std=94694.85, mediana=504779.79, min=424438.72, max=687243.70, n=5, outliers=0
ORTHOMCL874: média=354100.41 bps, std=59343.38, mediana=333035.97, min=280772.44, max=437837.40, n=5, outliers=0
ORTHOMCL875: média=392428.71 bps, std=59265.45, mediana=361154.56, min=320199.74, max=482737.39, n=5, outliers=0
ORTHOMCL877: média=460897.58 bps, std=75258.59, mediana=452797.19, min=383462.86, max=592292.16, n=5, outliers=0
ORTHOMCL878: média=583345.82 bps, std=94336.19, mediana=586546.45, min=453249.90, max=712674.92, n=5, outliers=0
ORTHOMCL884: média=431524.12 bps, std=104384.85, mediana=431354.98, min=273644.57, max=602455.81, n=5, outliers=0
ORTHOMCL885: média=553449.33 bps, std=116039.39, mediana=490206.51, min=431553.58, max=713236.94, n=5, outliers=0
ORTHOMCL888: média=563187.11 bps, std=89589.48, mediana=540189.77, min=458463.37, max=685320.97, n=5, outliers=0
ORTHOMCL900: média=588447.25 bps, std=140726.02, mediana=533484.22, min=430025.93, max=798258.39, n=5, outliers=0
ORTHOMCL908: média=371155.07 bps, std=37743.69, mediana=367443.80, min=328166.47, max=414849.78, n=5, outliers=0
ORTHOMCL916: média=397153.75 bps, std=48171.49, mediana=381942.58, min=334124.19, max=465585.68, n=5, outliers=0
ORTHOMCL918: média=569523.55 bps, std=144182.60, mediana=514008.42, min=425876.82, max=824903.42, n=5, outliers=0
ORTHOMCL938: média=541338.73 bps, std=126439.45, mediana=515277.52, min=430147.94, max=777083.03, n=5, outliers=0
ORTHOMCL942: média=583473.31 bps, std=93853.85, mediana=547113.80, min=478870.68, max=736362.64, n=5, outliers=0
ORTHOMCL943: média=393502.67 bps, std=89323.45, mediana=373461.52, min=291613.59, max=501956.56, n=5, outliers=0
ORTHOMCL947: média=414065.76 bps, std=55400.57, mediana=421542.16, min=336429.73, max=504679.84, n=5, outliers=0
ORTHOMCL948: média=324770.48 bps, std=21127.91, mediana=322200.09, min=301407.73, max=363870.90, n=5, outliers=0
ORTHOMCL964: média=337390.02 bps, std=33150.74, mediana=344195.12, min=300646.93, max=391712.65, n=5, outliers=0
ORTHOMCL965: média=617504.86 bps, std=79035.06, mediana=571645.51, min=553065.15, max=763085.15, n=5, outliers=0
ORTHOMCL968: média=240756.64 bps, std=36567.61, mediana=237289.86, min=191159.86, max=294218.88, n=5, outliers=0
ORTHOMCL974: média=562382.89 bps, std=103098.62, mediana=497641.80, min=467761.02, max=711437.90, n=5, outliers=0
ORTHOMCL983: média=422181.32 bps, std=83581.91, mediana=375021.37, min=337013.76, max=566057.24, n=5, outliers=0
ORTHOMCL988: média=111235.82 bps, std=9514.11, mediana=109783.67, min=100870.84, max=127775.94, n=5, outliers=0
ORTHOMCL989: média=441048.81 bps, std=27047.38, mediana=442464.42, min=394600.45, max=473939.65, n=5, outliers=0
ORTHOMCL990: média=506363.06 bps, std=91510.95, mediana=467692.92, min=423802.65, max=676271.42, n=5, outliers=0
ORTHOMCL993: média=286097.40 bps, std=43572.33, mediana=294926.66, min=216195.07, max=334980.70, n=5, outliers=0
tree_ORTHOMCL1000_Inner1.nexus: média=13109.05 bps, std=1036.36, mediana=12772.90, min=11972.49, max=14810.22, n=5, outliers=0
tree_ORTHOMCL1000_Inner2.nexus: média=26948.74 bps, std=3487.23, mediana=25103.28, min=23703.57, max=32608.40, n=5, outliers=0
tree_ORTHOMCL1000_Inner3.nexus: média=20794.13 bps, std=2554.06, mediana=21061.16, min=16122.17, max=23440.40, n=5, outliers=0
tree_ORTHOMCL1000_Inner4.nexus: média=45849.48 bps, std=3880.36, mediana=43798.72, min=40995.63, max=50645.02, n=5, outliers=0
tree_ORTHOMCL1002_Inner1.nexus: média=20038.11 bps, std=3003.12, mediana=18829.11, min=17005.34, max=25555.82, n=5, outliers=0
tree_ORTHOMCL1002_Inner2.nexus: média=21936.27 bps, std=2754.68, mediana=22865.66, min=18753.79, max=26118.16, n=5, outliers=0
tree_ORTHOMCL1002_Inner3.nexus: média=24915.22 bps, std=1562.33, mediana=25481.46, min=23048.74, max=27232.64, n=5, outliers=0
tree_ORTHOMCL1002_Inner4.nexus: média=45330.53 bps, std=7485.76, mediana=40438.51, min=37696.71, max=55481.57, n=5, outliers=0
tree_ORTHOMCL1003_Inner1.nexus: média=21777.35 bps, std=3134.36, mediana=20330.39, min=19253.54, max=27907.01, n=5, outliers=0
tree_ORTHOMCL1003_Inner2.nexus: média=4623.40 bps, std=410.12, mediana=4531.97, min=4136.46, max=5347.47, n=5, outliers=0
tree_ORTHOMCL1003_Inner3.nexus: média=24621.82 bps, std=4901.66, mediana=24356.02, min=16469.67, max=30894.10, n=5, outliers=0
tree_ORTHOMCL1003_Inner4.nexus: média=47680.26 bps, std=5773.86, mediana=48317.87, min=38422.18, max=53703.10, n=5, outliers=0
tree_ORTHOMCL1005_Inner1.nexus: média=21411.30 bps, std=3506.67, mediana=19680.59, min=17774.06, max=27877.58, n=5, outliers=0
tree_ORTHOMCL1005_Inner2.nexus: média=20829.34 bps, std=3282.98, mediana=20222.76, min=17141.51, max=25800.68, n=5, outliers=0
tree_ORTHOMCL1005_Inner3.nexus: média=29348.78 bps, std=4478.39, mediana=30269.67, min=23541.26, max=34482.88, n=5, outliers=0
tree_ORTHOMCL1005_Inner4.nexus: média=42497.40 bps, std=6046.73, mediana=38717.07, min=37638.74, max=53585.20, n=5, outliers=0
tree_ORTHOMCL1006_Inner1.nexus: média=21087.81 bps, std=2768.81, mediana=19557.13, min=19115.31, max=26413.34, n=5, outliers=0
tree_ORTHOMCL1006_Inner2.nexus: média=21724.30 bps, std=2070.65, mediana=21796.81, min=19156.17, max=24279.89, n=5, outliers=0
tree_ORTHOMCL1006_Inner3.nexus: média=29009.66 bps, std=4011.39, mediana=26504.49, min=24810.40, max=35297.76, n=5, outliers=0
tree_ORTHOMCL1006_Inner4.nexus: média=43906.93 bps, std=4566.54, mediana=43059.94, min=38808.42, max=52484.38, n=5, outliers=0
tree_ORTHOMCL1007_Inner1.nexus: média=21516.31 bps, std=3960.09, mediana=22628.21, min=15532.99, max=26547.62, n=5, outliers=0
tree_ORTHOMCL1007_Inner2.nexus: média=19403.42 bps, std=1712.62, mediana=18599.08, min=17811.62, max=22648.22, n=5, outliers=0
tree_ORTHOMCL1007_Inner3.nexus: média=27763.80 bps, std=4753.36, mediana=26626.83, min=20433.49, max=33861.14, n=5, outliers=0
tree_ORTHOMCL1007_Inner4.nexus: média=50746.83 bps, std=8717.73, mediana=49704.65, min=40803.12, max=65512.94, n=5, outliers=0
tree_ORTHOMCL1008_Inner1.nexus: média=19252.64 bps, std=2373.69, mediana=18418.98, min=17494.46, max=23867.43, n=5, outliers=0
tree_ORTHOMCL1008_Inner2.nexus: média=19750.71 bps, std=6210.81, mediana=20224.45, min=8197.78, max=25282.58, n=5, outliers=0
tree_ORTHOMCL1008_Inner3.nexus: média=28120.62 bps, std=4596.96, mediana=24726.10, min=24318.61, max=35848.68, n=5, outliers=0
tree_ORTHOMCL1008_Inner4.nexus: média=49908.66 bps, std=7639.69, mediana=52381.12, min=40429.60, max=60313.16, n=5, outliers=0
